Ad account name,Campaign name,Ad set name,Ad name,Page ID,Post Id,Object Story ID
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - April 2025,News Ad - Solution Aware,109798874815594,687057813885296,109798874815594_687057813885296
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - May 2025,News Ad - Solution Aware,109798874815594,687057657218645,109798874815594_687057657218645
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - May 2025,Buying vs Leasing Editorial,109798874815594,686253180632426,109798874815594_686253180632426
Lease End,Meta | MOF | Estimates,Facebook - 75% Video Views - Estimates - L3,Pamela Experience,109798874815594,696177592973318,109798874815594_696177592973318
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - April 2025,Pamela Experience,109798874815594,696179729639771,109798874815594_696179729639771
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - April 2025,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | MOF | Estimates,Facebook - 75% Video Views - Estimates - L3,Skip Over the Dealership,109798874815594,659938169930594,109798874815594_659938169930594
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - March 2025,No Goodbyes Man Static - Lower Payment,109798874815594,659959953261749,109798874815594_659959953261749
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - March 2025,Buying vs Leasing Editorial,109798874815594,686253267299084,109798874815594_686253267299084
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - April 2025,No Goodbyes Man Static - Lower Payment,109798874815594,659958369928574,109798874815594_659958369928574
Lease End,Meta | MOF | Estimates,Facebook - 75% Video Views - Estimates - L3,No Goodbyes Man Static - Lower Payment,109798874815594,659942973263447,109798874815594_659942973263447
Lease End,Meta | MOF | Estimates,Facebook - 75% Video Views - Estimates - L3,News Ad - Solution Aware,109798874815594,686253123965765,109798874815594_686253123965765
Lease End,Meta | MOF | Estimates,Facebook - 75% Video Views - Estimates - L3,Buying vs Leasing Editorial,109798874815594,686253353965742,109798874815594_686253353965742
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - March 2025,Tracy Testimonial,109798874815594,662171349707276,109798874815594_662171349707276
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Past 7 Days - L4,Tracy Testimonial,109798874815594,674731635117914,109798874815594_674731635117914
Lease End,Meta | MOF | Estimates,Facebook - 75% Video Views - Estimates - L3,Turbocharge Your Lease Buyout,109798874815594,659937049930706,109798874815594_659937049930706
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - March 2025,News Ad - Solution Aware,109798874815594,669509952306749,109798874815594_669509952306749
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - February 2025,No Goodbyes Man Static - Lower Payment,109798874815594,659957399928671,109798874815594_659957399928671
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - February 2025,News Ad - Solution Aware,109798874815594,659929136598164,109798874815594_659929136598164
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - February 2025,Testimonial Video Montage - Video,109798874815594,619152434009168,109798874815594_619152434009168
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - February 2025,Michael Testimonial,109798874815594,662148716376206,109798874815594_662148716376206
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Past 7 Days - L4,Why Drivers Don't Know About Lease Buyouts - Unaware,109798874815594,667366219187789,109798874815594_667366219187789
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Past 7 Days - L4,Glenn Testimonial 1 - Video,109798874815594,667366049187806,109798874815594_667366049187806
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Past 7 Days - L4,Lease End Lender Partnerships Explained - Solution Aware,109798874815594,667330412524703,109798874815594_667330412524703
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Past 7 Days - L4,Sara Testimonial - Problem Aware,109798874815594,667330339191377,109798874815594_667330339191377
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Past 7 Days - L4,No Goodbyes Man Static - Lower Payment - Post ID,109798874815594,651260367465041,109798874815594_651260367465041
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Past 7 Days - L4,How Lease End Saves Drivers Time + Money - Solution Aware,109798874815594,651234287467649,109798874815594_651234287467649
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - March 2025,Lease End Customer Testimonial 1 - Unaware,109798874815594,659960339928377,109798874815594_659960339928377
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - March 2025,Michael Testimonial,109798874815594,662138346377243,109798874815594_662138346377243
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - February 2025,Tracy Testimonial,109798874815594,662171319707279,109798874815594_662171319707279
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Past 30 Days,Sara Testimonial - Problem Aware,109798874815594,659931466597931,109798874815594_659931466597931
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - February 2025,Male Actor - Problem Aware,109798874815594,659933406597737,109798874815594_659933406597737
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - May 2025,No Goodbyes Man Static - Lower Payment,109798874815594,659961216594956,109798874815594_659961216594956
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - May 2025,Lease End Customer Testimonial 1 - Unaware - Post ID,109798874815594,615713334353078,109798874815594_615713334353078
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - April 2025,Lease End Customer Testimonial 1 - Unaware - Post ID,109798874815594,615713334353078,109798874815594_615713334353078
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Days 2-4,RT 1,109798874815594,659953023262442,109798874815594_659953023262442
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Days 8-10,RT 3,109798874815594,659953516595726,109798874815594_659953516595726
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Days 15-17,RT 5,109798874815594,659955856595492,109798874815594_659955856595492
